name,city,province,country,governing_body,org_type,id
"Boch Blazers","Dedham","MA","US","EHF","association","0a38d7ae-0ffc-41d9-b4b5-3b8b14aa85da"
"Boisbriand Centurions","Boisbriand","QC","CA","LH3L","association","519f659e-3950-4696-80c9-032fcf6e3f2e"
"Boisbriand College","Boisbriand","QC","CA","RSEQ","academy","1e525b02-34df-45da-ab4f-4a9bc1783ac4"
"Boise Ice Pilots","Boise","ID","US","Independent","association","3a394818-be37-4934-af24-7dbd5a146ef5"
"Boise Wings","Boise","ID","US","Independent","association","a597c487-00f8-4d71-9813-16384ec4833c"
"Boissevain Border Kings","Boissevain","MB","CA","SWRHL","association","a2b566bb-772b-455c-b0ef-cea4c885b995"
"Boji Mammoths","Spirit Lake","IA","US","MN04","association","0d149b8b-6abb-4f0c-8ce6-64406c574762"
"Bonavista Cabots","Bonavista","NL","CA","Independent","association","7c2c5c7f-6b9e-4db8-8379-0ef0c180516f"
"Bonnyville Pontiacs","Bonnyville","AB","CA","NEAHL","association","33c2dc35-cec0-4060-b456-70719badcdef"
"Border Jets","Stanstead","QC","CA","Estrie","association","849c2f94-76f9-4b03-87e3-9269a979d36a"
